,model,prompt,size(B),language,prediction,prompt_formality,id,formality,annotator,annotation_id,created_at,updated_at,lead_time
0,XGLM,"Esto es pa ponerlo en el coche y subirle los graves, y cuando tu parienta",7.5,es," les diga... ""A mi tambien me gustan los coches""... te lo dejas como recuerdo. jajajajajajajajajajajajajajajajjajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajaja",Informal,3768,Incohesive,14,3327,2022-11-24T21:55:43.831233Z,2022-11-24T21:55:43.831249Z,1.61
1,XGLM,"Salgo pa' la calle, pillo la cartera y las llaves, Llamo al ascensor, una extraña",2.9,es," mujer, me abre la puerta, Salgo hacia la calle, bajo la escalera y... ¡Empiezo a caminar! No sé si va a salir esto bien, pero en fin...",Informal,3619,Formal,14,655,2022-11-04T22:00:50.536189Z,2022-11-27T21:30:30.731601Z,38.636
2,BLOOM,Si me coloco ante el micrófono puedo existir Que este hijo puta es un fenómeno,7.1,es,La cabeza que tengo es mía A esta gente a esta banda la amo Este hijo puta es un fenómeno La cabeza que tengo es mía A esta gente a esta banda la amo Este hijo puta es un fenómeno La cabeza que tengo es mía A esta gente a esta banda la amo Este hijo puta es un fenómeno La cabeza que tengo es mía A esta gente a esta banda la amo Este hijo puta es un fenómeno La cabeza que tengo es mía A esta gente a esta banda la amo Este hijo puta es un fenómeno La cabeza que tengo es mía A esta gente a esta banda la amo Este hijo puta es un fenómeno La cabeza que tengo es mía A esta gente a esta banda la amo Este hijo puta es un fenómeno La cabeza que tengo es mía A esta gente a,Informal,3929,Incohesive,12,3551,2022-11-27T21:23:13.806102Z,2022-11-27T21:23:13.806126Z,1.976
3,XGLM,A cuanto hijo de puta tengo que aguantar dime por qué luchar si nada es,2.9,es,realmente posible. ¡Si las fuerzas no sirven para algo me da igual! ¿Y si las fuerzas sirven para nada? Si no hay nada entonces todo puede ser una broma.,Informal,3680,Formal,14,2877,2022-11-16T22:51:15.969529Z,2022-11-24T23:07:07.860363Z,16.732
4,XGLM,Por que la,7.5,es,Por que la mejor estrategia de marketing no es la que te hace ganar más dinero – Marketing de Guerrilla en La importancia del Community Manager en la estrategia de Inbound Marketing,Neutral,4761,Informal,14,3550,2022-11-24T23:06:47.912564Z,2022-11-24T23:06:47.912586Z,5.348
5,XGLM,Se ha,7.5,es,Se ha producido un error en este gadget. Suscribirse a: Enviar comentarios (Atom) El contenido de este blog es propiedad de sus autores. Con la tecnología de Blogger.,Neutral,4768,Incohesive,14,3549,2022-11-24T23:06:36.117241Z,2022-11-24T23:06:36.117262Z,4.07
6,XGLM,Por que la,7.5,es,Por que la democracia no es perfecta. Ensayo y reflexión sobre los principales problemas de nuestra democracia.. Editorial Civitas. Barcelona. 2000.,Neutral,4758,Formal,14,3548,2022-11-24T23:06:24.511077Z,2022-11-24T23:06:24.511096Z,0.736
7,BLOOM,"¡Yo! soy el último, hombre furioso en la ciudad, soy el último hijo de puta",7.1,es," en la ciudad.
No nos queda nada que perder.
Cálmate, amigo.
No hay tiempo para eso.
No tenemos tiempo para una mierda.
¡Debemos correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr!
¡Correr",Informal,3996,Informal,14,3547,2022-11-24T23:06:05.077334Z,2022-11-24T23:06:09.591309Z,2.024
8,XGLM,Para un,2.9,es,"Para unirse a la conversación, por favor ingrese o regístrese acá. Los campos marcados con un asterisco (*) son obligatorios.",Neutral,4691,Formal,14,3546,2022-11-24T23:05:54.551475Z,2022-11-24T23:05:54.551490Z,0.979
9,BLOOM,Este es un Wikilibro que estamos escribiendo los estudiantes que cursan Teoría de Grafos en,3.0,es," la Facultad de Ingeniería y Ciencias Ambientales de la Universidad de los Andes. Está basado en los recursos que ofrece la Biblioteca Virtual de Tesis y Dissertaciones de la Facultad de Ingeniería y...
El desarrollo sostenible es una de las principales asignaturas pendientes del actual sistema de producción mundial. Se trata de una política que tiene como objetivo el equilibrio entre la demanda actual y los recursos naturales renovables de forma que, el desarrollo...
El presente libro está destinado a brindar, en un lenguaje sencillo, un panorama general de los temas fundamentales de la teoría de grafos y su aplicación al estudio de diversas áreas del conocimiento, como la teoría de optimización, la teoría de grafos...
El presente texto pretende ser un complemento a los trabajos de teoría de grafos de",Formal,4075,Formal,14,3545,2022-11-24T23:05:45.740615Z,2022-11-24T23:05:45.740639Z,11.082
