,Unnamed: 0,model,prompt,size(B),language,prediction,prompt_formality,id,formality,annotator,annotation_id,created_at,updated_at,lead_time
0,0,BLOOM,এই জন্যই আমরা হাজির ছিলাম।,3.0,bn," একাত্তরের ভয়াবহ নির্যাতনের হাত থেকে রেহাই দিতে। তখনকার এই যুদ্ধাপরাধীদের বিচার করার বিষয়ে আমরা তাদের কাছ থেকে সমর্থন চেয়েছিলাম। তারা আমাদের সমর্থন করেছিলো। আমি শুনেছিলাম যুদ্ধাপরাধীদের রায় হলে, আমাদেরকে তাদের প্রতি সহানুভূতিশীল মনোভাব দেখাতে হবে। কিন্তু এর মাধ্যমে আমরা যেন তাদের প্রতি সহানুভূতিশীল আচরণ না করি। বরং এর মাধ্যমে তাদের প্রতি আরো সাহসী মনোভাব প্রদর্শন করি, যেন তারা আরও বড় শক্তি হয়।",Formal,6015,Formal,13,2957,2022-11-17T12:32:39.556357Z,2022-11-17T12:32:39.556379Z,5.063
1,1,XGLM,"আরও অনেকের মতো আপনিও হয়তো মনে করতে পারেন যে, উন্নত জীবনযাপনের জন্য ধর্মের তেমন কোনো গুরুত্ব নেই",7.5,bn,"আরও অনেকের মতো আপনিও হয়তো মনে করতে পারেন যে, উন্নত জীবনযাপনের জন্য ধর্মের তেমন কোনো গুরুত্ব নেই। তবে এসব কথার পেছনে একটা সত্য লুকিয়ে আছে, তা হলো, বিশ্বের অধিকাংশ দেশের উন্নত ও উন্নয়নশীল সমাজেই ধর্মের প্রভাব এখনও অনেক বেশি। কেন এই গুরুত্ববহ প্রভাব?",Formal,6324,Formal,13,2636,2022-11-15T17:22:32.252945Z,2022-11-15T17:22:32.252972Z,6.737
2,2,BLOOM,"তারা তাদের কাছে এসে বলেন, “আপনারা কী ক্ষতিগ্রস্ত হয়েছেন? ”",3.0,bn," তারা জবাবে বলেন, “রক্তের দাগ আমাদের জন্য কোনো সমস্যা নেই। আমরা যেখানেই যাচ্ছি সেখানেই আমাদের সবার সঙ্গে এ দাগ আছে। তবে আমরা সবাই একটি দলের সদস্য, কারণ আমাদের জন্মই এখানে।”",Formal,6055,Informal,13,2635,2022-11-15T17:22:18.554087Z,2022-11-15T17:22:18.554110Z,3.144
3,3,BLOOM,টেস্ট ম্যাচ ড্র :D আমরা ভাল খেলসি (y) New Zealand 469 & 287/7d Bangladesh 501 & 173/3 (48.2 ov) MAN OF THE...,7.1,bn," View Post
মাশরাফী বিন মর্তুজা আর সাকিব আল হাসানের মত আন্তর্জাতিক ক্রিকেটে দারুণ পারফর্ম করেও, বাংলাদেশের টেস্ট দল থেকে বাদ পড়েছেন ইমরুল কায়েস। বাংলাদেশের... View Post
আগামী ২৭ অক্টোবর পর্যন্ত সব ধরনের ক্রিকেট বন্ধ থাকবে। এর আগে ক্রিকেটারদের জন্য ৫টি করোনার টিকা দেয়ার সিদ্ধান্ত নিয়েছে ক্রিকেট... View Post
ভারত ও পাকিস্তান দুই দলকে একসঙ্গে টেস্ট খেলাতে চায় না বিসিবি সভাপতি নাজমুল হাসান। কিন্তু ভারতের সঙ্গে টেস্ট খেলতে আপত্তি নেই পাকিস্তান ক্রিকেট বোর্ডের... View Post
ক্রিকেটের জনপ্রিয় দেশগুলোর বাইরে টি-টোয়েন্টি খেলবে না পাকিস্তান। আইসিসি চেয়ারম্যান অ্যাশেজকে সামনে রেখে এই সিদ্ধান্ত নিয়েছে। টেস্ট খেলার বিষয়ে দুই দেশের... View Post
আইসিসির পরবর্তী টেস্ট র‌্যাংক",Informal,6546,Incohesive,13,2634,2022-11-15T17:22:07.423829Z,2022-11-15T17:22:07.423847Z,3.61
4,4,XGLM,"আমি আশা করি, আপনার মধ্যে কোনো অসন্তোষ নেই।",7.5,bn," আপনিই বলেন, আপনি কী আমার কাছ থেকে এই স্বীকৃতি পাব?'' জিজ্ঞাসা করেন প্রধানমন্ত্রী। এতে তিনি আনন্দিত হয়ে বলেন, স্যার আপনার মতো অনেকেই আমাকে ভালোবাসে।",Formal,6348,Formal,13,2633,2022-11-15T17:21:57.155025Z,2022-11-15T17:21:57.155045Z,5.476
5,5,XGLM,এনএসি বিমান দূর্ঘটনা এবং ১৮ টি তাজা মূল্যবান প্রাণের মৃত্যুতে আমি বিস্মিত,7.5,bn," । এ ধরনের ঘটনা যেন আর না ঘটে । কিন্তু সরকার, আইন প্রয়োগকারী সংস্থা এবং বিমানের নিয়ন্ত্রণ কর্তৃপক্ষ সবকিছুই এমন ভাবে করছে যেন এই দূর্ঘটনা অনাকাঙ্খিত । অগ্নিদগ্ধ পাইলট ও ক্রুদের কি হদিশ?",Formal,6385,Formal,13,2632,2022-11-15T17:21:43.714588Z,2022-11-15T17:21:43.714614Z,4.319
6,6,XGLM,"""উদ্ধৃতি টেমপ্লেট ইংরেজি প্যারামিটার ব্যবহার করেছে (ইংরেজি প্যারামিটার)।""",2.9,bn," (অনলাইন সংস্করণ) উদ্ধৃতি টেমপ্লেট ইংরেজি প্যারামিটার ব্যবহার করেছে (link) উদ্ধৃতি ত্রুটি: <references>-এ সংজ্ঞায়িত ক্রমিক সংখ্যা ""17"" এখনও অকার্যকর।",Formal,6256,Incohesive,13,2631,2022-11-15T17:21:28.537759Z,2022-11-15T17:21:28.537784Z,2.346
7,7,BLOOM,এবং ব্রাজিলের কিছু অংশে কথা বলা হাঙ্গেরীয় ভাষার শব্দ যেমন,7.1,bn," ""গাসিয়া"" এবং ""পাপ্পা"" ইত্যাদি স্থানীয় ভাষায় পাওয়া যায়। এছাড়া সুইজারল্যান্ডের উত্তর-পশ্চিমে বেলজিয়ামের কিছু অংশে যেমন ""পেল্‌পস্‌"", জার্মান ভাষায় সাধারণত ""প্লেস্‌"" বলে বিবেচিত একটি শব্দও ব্যবহৃত হয়।

বহিঃসংযোগ

বহুশুশিক্ষা ও শিক্ষণ ওয়েবসাইট

ইংরেজি ভাষায়:

বহুশিক্ষার অন্যান্য ওয়েবসাইট

তথ্যসূত্র

বহিঃসংযোগ 

 
বিষয়শ্রেণী:আন্তর্জাতিক ভাষা
বিষয়শ্রেণী:পদ্ধতি ভাষা
বিষয়শ্রেণী:বাঙালি ভাষার তালিকা
বিষয়শ্রেণী:পদ্ধতি ভাষা
বিষয়শ্রেণী:ইংরেজি ভাষার তালিকা
বিষয়শ্রেণী:ইংরেজি ভাষা
বিষয়শ্রেণী:হাঙ্গেরীয় ভাষা
বিষয়শ্রেণী:তেলুগু ভাষা",Formal,6197,Incohesive,13,2630,2022-11-15T17:21:06.742317Z,2022-11-15T17:21:13.356323Z,23.503
8,8,BLOOM,আমি ঠিক সময়ে ঘুম থেকে উঠিনি।,3.0,bn," আমার ঘুম আসলো। তখন আমি ঘুমের ভেতরই অনেক অনেক দূরে একটা সুন্দর দেশ এবং একটা সুন্দর মেয়ে দেখতে পেলাম। আমি তার কাছে গেলাম, অনেক কথা বললাম। আমি আমার জীবনে ভাল কিছু করতে চেয়েছি। আমি তাকে বলবো যে জীবনে আমি আমার সবচেয়ে ভাল বন্ধু, আমার ভাই, আমার স্বামী, আমার পিতা এবং আমার মায়ের মতো হয়ে যাবো।
আমি তাদের জন্য কিছু বলবো যে আমার জীবনের ভাল কিছু কিছু শুরু হলো। আমি তাদের দেখাবো যে আমি কোন না কোন সময় আমার বাবাকে সাথে নিয়ে ঘুরছি। আমি যখন তাদের সাথে কথা বলি, যখন আমার ভাই আছে তখন আমি তাদের দেখাবো যে আমি কোন না কোন সময় খেলছি। আমি তাদের দেখাবো যে আমি আমার বাবাকে সাথে নিয়ে বের করছি। আমি যদি তাদের কাছে কিছু না বলি",Formal,6063,Informal,13,2629,2022-11-15T17:20:40.562319Z,2022-11-15T17:20:40.562338Z,3.869
9,9,XGLM,এবং ব্রাজিলের কিছু অংশে কথা বলা হাঙ্গেরীয় ভাষার শব্দ যেমন,7.5,bn,", ""সেপ্টি"" অর্থাৎ দরজা। এটি কোন অঙ্গসজ্জার বিষয় নয়। কিন্তু এ ধরনের অনেক ঘটনা ঘটেছে।",Formal,6397,Formal,13,2628,2022-11-15T17:20:15.643890Z,2022-11-15T17:20:15.643908Z,3.02
