,model,prompt,size(B),language,prediction,prompt_formality,id,formality,annotator,annotation_id,created_at,updated_at,lead_time
0,XGLM,pourquoi est-ce important ce qu'ils pensent s'ils ne s'entendent pas ne pas passer du temps,7.5,fr,à se disputer. Ils vivent dans un monde où ils sont tous égaux! Ils vivent comme au paradis. Ils n'ont pas besoin de penser à l'importance qu'il y aurait de respecter les uns les autres.,Informal,4911,Formal,8,2537,2022-11-12T17:53:48.830192Z,2022-11-12T17:53:48.830214Z,40.998
1,XGLM,si vous avez pénis que son aucun problème u juste hv pénitrate sa chatte avec,7.5,fr,sa langue et sa bouche tout sa pour qu il cri bien longtemps et après vous la mettez sur son cul. et bien j en est fait un peu comme sa,Informal,4910,Informal,8,2536,2022-11-12T17:53:06.296429Z,2022-11-12T17:53:06.296448Z,24.569
2,XGLM,Oh et certains parce que leurs filles minces et maigres et de nos jours anorexiques,7.5,fr,", n'ont pas des parents qui les aident par exemple: quand on voit les pubs ou l'on voit des filles qui ont un corps mince mais pas beau, on ne se dit pas que ""quand je serai plus grande, je serai comme elle"" mais si on se dit que les filles deviennent anorexiques, c'est parce qu'elles n'ont pas eu assez de soutiens de leur famille.",Informal,4909,Informal,8,2535,2022-11-12T17:52:40.611699Z,2022-11-12T17:52:40.611721Z,10.717
3,XGLM,Je le vois à peine Everrr à l'école soit habituellement je vois mes frères jeux,7.5,fr," et c'est mon frère, je suis content de l'avoir. :) J'ai les cheveux châtain foncé longs et bouclés, je suis mince et j'ai des yeux marrons.",Informal,4908,Informal,8,2534,2022-11-12T17:52:28.965625Z,2022-11-12T17:52:28.965641Z,5.093
4,XGLM,"Quoi qu'il en soit, bonne chance mais je suis juste heureux que j'ai les cheveux",7.5,fr," longs. Si tu veux qu'on se mette en contact pour être un jour coiffeur, n'hésite pas. Et si tu veux qu'on se voit, fait signe, je suis souvent dans le quartier.",Informal,4907,Informal,8,2533,2022-11-12T17:52:22.484596Z,2022-11-12T17:52:22.484619Z,9.246
5,XGLM,"Je vous demanderais de sortir, mais je vis en Oregon et je n'ai aucune idée",7.5,fr," de qui sont les membres de la famille. C'est dur d'imaginer que quelqu'un s'en prend à ma famille, alors je me demande s'il se passe quelque chose quand je suis en vacances.",Informal,4906,Informal,8,2532,2022-11-12T17:52:12.088209Z,2022-11-12T17:52:12.088231Z,50.058
6,XGLM,(Dire désolé à lui sans commettre une erreur est humilation à notre auto... ET NE,7.5,fr,CHERCHE PAS UN HOMME CAR CE N'EST PAS CE QUE TU AIMERAIS LE PLUS..) C'est tout ce que j'ai à dire...,Informal,4905,Informal,8,2531,2022-11-12T17:51:20.687884Z,2022-11-12T17:51:20.687901Z,7.004
7,XGLM,"est-ce que vous êtes tombé goog parce que je veux avoir des relations sexuelles, mais",7.5,fr,je ne veux pas le faire avec un mec? les gars nus à la maison fille avec la langue nue xxx vidéos de sexe indien gratuit en ligne,Informal,4904,Informal,8,2530,2022-11-12T17:51:12.282217Z,2022-11-12T17:51:12.282239Z,8.054
8,XGLM,King avait une chanson à ce sujet - Seule votre Mère vous aime (et voir,7.5,fr," la vidéo à cet effet ici). Il a également chanté à la fin de l'émission télévisée ""This Morning"" du 11 février, en disant: ""Je pense que je vais commencer à écrire une chanson pour quelqu'un qui n'a pas connu sa mère. Je pense que c'est une bonne idée."" Il a changé de sujet après avoir été interrompu au sujet du film.",Informal,4903,Formal,8,2529,2022-11-12T17:51:03.073866Z,2022-11-12T17:51:03.073888Z,130.786
9,XGLM,POURQUOI TOUT LE MONDE SEMBLE VOULOIR QUELQU'UN QU'IL NE PEUT PAS AVOIR ET SAVOIR QU'IL,7.5,fr,EST CE QU'IL N'EST PAS?  #epic #love #epiclove #me #pic #lovepic #couple #couplegoals #life #lifeisgood #lifeisbeautiful #lifeisbeautiful  #happy #happyday #beautifulgirl #beautiful #beautifulday #girl #girly #girlythings  #happyday #happyday  #happydayphoto #happydayphotoshoot #happydaytime #time #timeisprecious #timeflies #timeisprecious #love,Informal,4902,Informal,8,2528,2022-11-12T17:48:50.686494Z,2022-11-12T17:48:50.686519Z,8.906
