,model,prompt,size(B),language,prediction,prompt_formality,id,formality,annotator,annotation_id,created_at,updated_at,lead_time
0,BLOOM,فلقد كانت تعرف منذ زمن طويل ان تركيا سيكون لها دور في المنطقة وعرفت بحسها,7.1,ar," المرهف الذي يجعلها تحسب خطواتها.
وتقول صحيفة الحياة اللندنية انه قد تم نشر قوات أمريكية في تركيا لحماية مصالحها في المنطقة كما تم نشر القوات التركية في العراق لضمان عدم تسرب اي من المهاجرين من العراق الى تركيا. كما ان انقرة تتابع عن كثب كل الاوضاع في ايران وكذلك في المنطقة الاخرى من البحر المتوسط والتي تعتبرها تركيا اهم المناطق بالنسبة لها.
وفي الحقيقة ان جميع هذه الاوضاع جعلت من العلاقات التركية الامريكية تنحو منحى جديدا ومغايرا لما كانت عليه من قبل وكانت علاقاتها متوترة مع بعض دول العالم ومنها الولايات المتحدة الامريكية ولكنها تتواصل الان وتتطور على أسس واضحة.
وترى الصحيفة اللندنية ان ايران تهدد المنطقة بمفاعلها النووي وهو ما سي",Informal,1042,Formal,134,3653,2022-11-27T23:10:26.949851Z,2022-11-27T23:10:26.949870Z,5.227
1,BLOOM,لكن إن شاء الله نجوم الزعيم يتداركون مثل هذه الأخطاء وينهون المباراة في صالحهم .,3.0,ar,"لكن إن شاء الله نجوم الزعيم يتداركون مثل هذه الأخطاء وينهون المباراة في صالحهم. ‏    ‏    ‏    ‏    ‏   ‏‏
‏
‏
‏
‏
‏
‏
‏
‏
‏
‏",Formal,973,Incohesive,134,3652,2022-11-27T23:10:20.855734Z,2022-11-27T23:10:20.855748Z,13.175
2,XGLM,لا إله إلإألله وماذا بعد ؟ نسأل الله ألعفو وألعافية وألرحمة للمتوفى . وجميل ألصبر,7.5,ar,لا إله إلإألله وماذا بعد ؟ نسأل الله ألعفو وألعافية وألرحمة للمتوفى. وجميل ألصبر على ألصيام على ألإنسان ألمعدوم. وطيب ألصبر على ألسفر على ألإنسان ألموجود. وما نراه أن ألصبر له أصول وقواعد,Formal,767,Incohesive,134,3651,2022-11-27T23:10:06.991503Z,2022-11-27T23:10:06.991518Z,20.083
3,BLOOM,شي طيب اقامة اماكن ترفيهية للشعب لكن شكلها خارج المدينة مما يصعب علينا زيارتها الا,3.0,ar," من خلال هذه المقصورة. وايضا ما اقيمته بالشارقة لم تكن بالشكل اللائق فمثلا برج خليفة اصبح مشوها جدا.. واذا اردت ان تكون مقهى فهذا ليس بالايجار.
* ولكن كيف نستطيع ان نضمن حصولنا على خدمات مميزة من قبل مكاتب استشارات التسويق والاستضافة لندعوهم لمقاضاتهم في حال حدوث اي عطل في الخدمات المقدمة لهم بعد استلام الطلب ؟
نحن نحاول ان لا يكون لدينا عيوب ومشكلات في خدماتنا وان نختار فقط الشركات التي تقدم لنا الخدمة بشكل صحيح وهذا ما لاحظنا عند اختيارنا للامانة الدولية للاعلام حيث وجدنا انها قامت بتقديم خدمات جيدة.
ونرى ان هناك الكثير من المكاتب تستعين بالاعضاء في بعض",Informal,845,Formal,134,3650,2022-11-27T23:09:46.215555Z,2022-11-27T23:09:46.215568Z,23.567
4,XGLM,فعلا بعيد عن أي حاجة مش عاوزين حد من اخواننا البعدا يشمت فينا ويقول آدي,7.5,ar, بيه يبقى بجد هو من اهل الخير وممكن يمشي عليه الشيطان وممكن يبقى غلطان بس يلا نبعد عن اي حاجه يعنى,Informal,683,Informal,134,3649,2022-11-27T23:09:21.650260Z,2022-11-27T23:09:21.650272Z,29.935
5,BLOOM,حرام عليك يادكتور كيلو البطيخ بعشر قروش امبارح شريت بطيخه 17 كيلو بدينار وسبعين قرش,3.0,ar," في الحلال يعني في سعر الحلال مش حرام شوف سعره بالصراف بالبنك الدولى ففى المزرعة البيومية والدواجن والدواجن الليله
مازلت لا اتمكن من قراءة هذا المقال ، رغم اني كنت اتابع التعليقات عنه ، فماذا حصل يا دكتور؟ انا كنت رايح بورصة للبطيخ فى الاسكندرية
ههههه يارب بس خلاص ياأبي خلاص رجع الى الحلال بعد طول بحث عن الحلال او المزرعة البكرية اومزارع الدواجن من غير حليب او اي معادن ميته
محتاجة نصيحة.. بقدمك ماشية و انت مستنى اكل.. و انت مستنى معضم وقت..",Informal,815,Informal,134,3648,2022-11-27T23:08:50.641492Z,2022-11-27T23:08:50.641511Z,68.924
6,BLOOM,الظاهر انك متفائل كثير بفريقك اللي من اول الموسم ما فرح يازلمه خذ من نصيحه,3.0,ar," الاخ حمزه الذي قال لك ان كل شيء في هذه الحياة قد يكون في مصلحة ناديك فالمعروف ان ادارة النادي دائما ما تكون مع الشعب الذي يقف خلفها, وهذا ما نتمناه منكم جميعا مع احترامي الشديد لكم جميع واخيرا نقدم لكم تحية الصامدون الاحساء
عبدالرحمن محمد الداوود",Informal,844,Informal,134,3647,2022-11-27T23:07:40.489946Z,2022-11-27T23:07:40.489959Z,168.32
7,XGLM,انت كاذب كاذب كاذب واذا لم ياخذ الزمالك حقة ستكون العواقب وخيمة واتمنى ان يبتعد,2.9,ar, الزمالك عن هذا اللاعب وهذا الاسم مع العلم ان هناك فرق اكبر تحصل عليه من مباراة الزمالك والجيش على استاد مختار بن حسن ارجو تصحيح ما يجول في خاطري اخ مختار,Formal,578,Incohesive,134,3646,2022-11-27T23:04:51.588494Z,2022-11-27T23:04:51.588509Z,183.383
8,XGLM,الحق يا سيادة الوزيرمدارس وقرى سوهاج بها فساد إدارى لا يعد ولا يحصى ا لكل,7.5,ar, مديرة مدرسة أو مدرس ،ولا ينقص من جهد منسوبينا في سوهاج إلا إكمال ربع ساعة لتوزيع المواد الدراسية على الطلاب ،,Formal,704,Formal,134,3645,2022-11-27T23:01:47.072296Z,2022-11-27T23:01:47.072315Z,28.307
9,XGLM,شكرا للاخ سيف ال خطاب على هذه المباركه ونود اعلامك ان التهنئه وضعت على لوحه,7.5,ar, الشرف في مقر النادي.. الشكر الجزيل.. امين.. محمد سلامي- امين الصندوق.. 07-10-2010,Formal,709,Incohesive,134,3644,2022-11-27T23:01:18.038659Z,2022-11-27T23:01:18.038672Z,5.135
